video_id,comment_id,author,published_at,updated_at,text_display,like_count,reply_count
2RY8TpRwdyI,UgxfqHBYQQa0eBy_nop4AaABAg,@hendywirawan6870,2025-11-07T02:33:05Z,2025-11-07T02:33:05Z,Bagus pak Purbaya sikat kalau sdh ngaco berhubungan main2 dengan uang rakyat.,0,0
2RY8TpRwdyI,Ugy0Mk6BmMHNi0fl3op4AaABAg,@Farah-hl5ct,2025-11-07T02:32:53Z,2025-11-07T02:32:53Z,"Bener sekali kalo mau pinjam kur harus ada anggunan , sikat aja pak",0,0
2RY8TpRwdyI,Ugw4kZOp4vizE72YG894AaABAg,@indrapujiwiyatno,2025-11-07T00:55:01Z,2025-11-07T00:55:01Z,mantul pak menkeu,0,0
2RY8TpRwdyI,Ugwb-xXEfJA6MCyRy9Z4AaABAg,@marliaheumarvggy5850,2025-11-06T12:33:45Z,2025-11-06T12:33:45Z,kita baru tahu slama bertahun2 slama ini baru ada rapat publik tau.,0,0
2RY8TpRwdyI,UgzSoLLQiWeuVNyny_N4AaABAg,@marliaheumarvggy5850,2025-11-06T12:31:00Z,2025-11-06T12:31:00Z,pak purbaya sehat selalu panjang umur,0,0
2RY8TpRwdyI,Ugyx2SETUiLDybhpIn94AaABAg,@erinnberlina4712,2025-11-06T07:41:28Z,2025-11-06T07:41:28Z,Dipecat saja masih banyak orang orang pintar yang akan bekerja,0,0
2RY8TpRwdyI,UgyWouTpaw76qRhcqjR4AaABAg,@SidikPranoto-e6t,2025-11-06T06:04:29Z,2025-11-06T06:04:29Z,"Baru kali ini lihat orang ngomong sombong tapi ikut senang,,sehat"" BPK",0,0
2RY8TpRwdyI,UgyYTdQbx2x8XNg3Dat4AaABAg,@kreatorinterior,2025-11-06T04:22:36Z,2025-11-06T04:22:36Z,"Betul,, semua diminta agunan. Kami yg di daerah juga merasakan itu",0,0
2RY8TpRwdyI,UgzATH-F8dLt-7fzA5Z4AaABAg,@milkuat_campur_daging,2025-11-05T15:51:58Z,2025-11-05T15:52:24Z,Seharusnya danantara itu sebagai tempat eksekusi untuk koruptor😂😂😂😂😂😂 & juga menjaga keuangan negara 😂😂😂😂 sama spt kpk,0,0
2RY8TpRwdyI,UgyoRQa8lkRdyVhAqDh4AaABAg,@christytolissautboydenpard2794,2025-11-05T15:48:10Z,2025-11-05T15:48:10Z,saya pengguna kur dan memang boleh lah klo untuk diatas 200jt lah pake agunan dan klo boleh bungany di minimalisir lagi dan jika pinjaman ke 2 jangan di naikkan bunganya kemudian jika melakukan plunasan lebih awal juga jgn di kenakan pinalti sampai 8 persen jika lunas lbh cepat kan kami juga senang kemudian tidak dibatasi untuk kur dalam peminjaman untuk durasi pinjamanannya,0,0
2RY8TpRwdyI,UgwYC1mBlknLQRtbKaB4AaABAg,@razor1685,2025-11-05T13:23:23Z,2025-11-05T13:23:23Z,"KUR di bwh 100jt hrs  ada jaminan coz kredit macetnya tinggi..itu sbg moral obligation z, Klo mau tnpa jaminan, minimal transaksi cash flownya di Bank tsb 6bln, biar kelihatan omzetnya",0,0
2RY8TpRwdyI,UgzqFlVoU_PHb9LMnm54AaABAg,@UdinSaputra-sh8ek,2025-11-05T12:09:16Z,2025-11-05T12:09:16Z,kenyataan d lapangan beda pak Mentri Purbaya saya buka warung pengen pinjam TPI harus ada jaminan.,0,0
2RY8TpRwdyI,UgyzlzZUhzWKXWz0And4AaABAg,@bambangsedewo196,2025-11-05T11:54:41Z,2025-11-05T11:54:41Z,Periksa aja pak .bank bank penyalur kur 25 juta aja pakai anggunan kenyataanya,0,0
2RY8TpRwdyI,Ugx_blGkEvT-Bciy0T54AaABAg,@enggalwahyu1411,2025-11-05T11:49:09Z,2025-11-05T11:49:43Z,inget waktu rapat kemarin pak : bapak orang baik tapi Kanan kiri bapak adalah serigala 😁,0,0
2RY8TpRwdyI,UgxOsMrdBtB8t3t_I0t4AaABAg,@ronin87195,2025-11-05T10:23:05Z,2025-11-05T10:23:05Z,"KUR itu juga banyak permainan. Masa blokir angsuran sampe 3x. 
Ibarat pinjam 10, cairnya gak sampe 8. Kpotong admin.  Bunganya ke itung yg 10 juta.",0,0
2RY8TpRwdyI,UgzlE6sOmlczJXTMf2l4AaABAg,@jarenesopo-99,2025-11-05T09:59:29Z,2025-11-05T09:59:29Z,Saya pinjam 25 hingga 100 diminta agunan pertama BPKB naik jadi 100 diminta agunan. Surat tanah / rumah,0,0
2RY8TpRwdyI,UgzwjVi-anT7tpk0YwR4AaABAg,@DwyPrawita-t6y,2025-11-05T07:48:34Z,2025-11-05T07:48:34Z,Buat bapak ini cuma satu kata dari saya .is the best❤,0,0
2RY8TpRwdyI,UgyM16VYZHPrply50nN4AaABAg,@SitiKotiah-o5f,2025-11-05T07:20:16Z,2025-11-05T07:20:16Z,"Aaaaaa,,, SO sweete,, pak Purbaya perhatian banget sama kita,, orang orang UMKM.👏👏",0,0
2RY8TpRwdyI,Ugz0dAlDe4MCTpkXA8R4AaABAg,@jackjack-sr7kd,2025-11-05T06:24:28Z,2025-11-05T06:24:28Z,"2:54 bukan habis tapi dihilangkan program kur katanya, setiap orang mau pinjam dialihkan ke program lainnya yang bunganya lebih besar",0,0
2RY8TpRwdyI,UgwtiPWY4Ei_B0jUc2Z4AaABAg,@Imransoedgocreate,2025-11-05T06:24:07Z,2025-11-05T06:24:07Z,"Istigkomah pak pur Insyaallah,, kami bersamamu",1,0
2RY8TpRwdyI,UgxaaKKFlXuJqKM1kLB4AaABAg,@jpyudha9359,2025-11-05T06:21:23Z,2025-11-05T06:21:23Z,"Hajar pak Pur, tolong buat kami jadi kaya raya bersama pak Purbaya.",0,0
2RY8TpRwdyI,UgzQojBlg4UGDjEGNc14AaABAg,@dessyferawatie1384,2025-11-05T06:19:42Z,2025-11-05T06:19:42Z,Pak Pur jaga kesehatan,0,0
2RY8TpRwdyI,UgxSf13IhQ0JJ2ho2eV4AaABAg,@ratripriyandewi,2025-11-05T05:29:15Z,2025-11-05T05:29:15Z,Semoga pak Prabowo mengutus 1 menteri yg kaya begini lagi. Biarin dah ceplas-ceplos.,0,0
2RY8TpRwdyI,UgxuVbgzIBVhMUsRGTd4AaABAg,@ratripriyandewi,2025-11-05T05:28:28Z,2025-11-05T05:28:28Z,Betul banget. UMKM jadi moto tapi dilapangan. Gak banget. Formalitas aja.,0,0
2RY8TpRwdyI,UgyEL0VcnKhtLHtKmhd4AaABAg,@taftftaftgt,2025-11-05T05:20:03Z,2025-11-05T05:20:03Z,Pak ASN boleh pinjam KUR kembali pak agar tidak terlalu bergantung pada gaji dan bisa menggerakan perekonomian,0,0
2RY8TpRwdyI,UgxiKu2jPjePGBU7V-14AaABAg,@babadanjukladang7246,2025-11-05T04:51:19Z,2025-11-05T04:51:19Z,Jaga beliau kawan2,0,0
2RY8TpRwdyI,Ugyg4idLFAWCrYufkE14AaABAg,@cangcilung8573,2025-11-05T04:08:33Z,2025-11-05T04:08:33Z,"Ttp aja percuma koar koar pak Pur,, masalah whoosh aja, ehhh bos nya memble tunduk sm genk solo, pdhl ada mark up biaya nya",0,0
2RY8TpRwdyI,UgwFAZLoJWYY6ZV3f-x4AaABAg,@sandrayusan8215,2025-11-05T04:06:03Z,2025-11-05T04:06:03Z,"baru kali ini, rakyat bisa mengikuti rapat kemenkeu",0,0
2RY8TpRwdyI,UgzhKMaXVUxhmpr2wvN4AaABAg,@None-q3b,2025-11-05T03:51:55Z,2025-11-05T03:51:55Z,"Di sumut pak Pur pakek agunan semua pak,20 juta KUR pakek jaminan surat tanah pak dan harus membuktikan punya usaha minimal 6 bulan, KUR BRI",1,0
2RY8TpRwdyI,UgzMLzQrroL6V2sW1wB4AaABAg,@IamNoOne321,2025-11-05T03:48:57Z,2025-11-05T03:48:57Z,"masih banyak orang2 sri mulyono dan termul2 lainnya, saatnya sikat2 pak",0,0
2RY8TpRwdyI,Ugyj8xyZi4nIJyXtyrV4AaABAg,@kuwunusantara,2025-11-05T03:29:51Z,2025-11-05T03:29:51Z,"Baru kali ini bener² keliatan mikirin rakyat, memang di bawah di unit bank BRI, pinjam 25 juta aja wajib ada agunannya.",0,0
2RY8TpRwdyI,UgwcUmQdtrl3Y5FIPdN4AaABAg,@kuwunusantara,2025-11-05T03:27:26Z,2025-11-05T03:27:26Z,"6:00 tak hanya agunan, pinjaman 50 juta di BRI Kebumen cabang Gombong malah wajib ikut asuransi apalah apalah.
Kocak banget, padahal di Mandiri gak wajib, di BNI juga gak wajib.",0,0
2RY8TpRwdyI,Ugzn3WtI0gbi2MN8cm54AaABAg,@prinzshaqueel,2025-11-05T03:14:48Z,2025-11-05T03:14:48Z,"Bank2 itu ngucurin dananya banyak ke KSP pak,jdi umkm jdinya kebanyakan minjam ke ksp yg bunganya lumayan tinggi,",0,0
2RY8TpRwdyI,UgxlArL69IXgFMSTdot4AaABAg,@lukashey8143,2025-11-05T02:59:07Z,2025-11-05T02:59:07Z,Pinjam di KUR banyak Potongan,0,0
2RY8TpRwdyI,UgxCzaCW4i6cehkDypZ4AaABAg,@banjarbarufurniture,2025-11-05T02:38:02Z,2025-11-05T02:38:02Z,"Martapura, Rabu 05 Nov 2025 Pukul 10.37 Wita",1,0
2RY8TpRwdyI,UgyY10GkpJEqJgwj9Sd4AaABAg,@banjarbarufurniture,2025-11-05T02:37:00Z,2025-11-05T02:37:00Z,Ada berita penting jawa tengah,1,0
2RY8TpRwdyI,UgxjmywvVx0Jp3BBal94AaABAg,@DenyArifianto-z8u,2025-11-05T02:13:32Z,2025-11-05T02:13:32Z,Nonton sampai habis tidak terasa 🙏🙏👍👍,0,0
2RY8TpRwdyI,UgzY5pO1AvKB4PMl7AN4AaABAg,@surnotoahmad2845,2025-11-05T01:19:09Z,2025-11-05T01:19:09Z,UMKM pinjam uang di Bank harus ada jaminan padahal dibawah 100jt.dibank sering ngomong KUR cepat habis ga tau permainan apa di Bank,0,0
2RY8TpRwdyI,UgzyGQMLrhs2PpiyEm94AaABAg,@aguz8000,2025-11-05T01:19:05Z,2025-11-05T01:19:05Z,"KUR di bawah 100 juta harusnya tanpa agunan, harus digalakkan supaya umkm bisa berkembang lagi dan gak lari ke pinjol",0,0
